Row,Column,Treatment,Date,Height
1,1,Control,4/8/2024,1
1,2,CG,4/8/2024,2.35
1,3,CBG,4/8/2024,2.1
1,4,Liquid,4/8/2024,3.1
1,5,Control,4/8/2024,0
1,6,CG,4/8/2024,0
1,7,CBG,4/8/2024,1.5
1,8,Liquid,4/8/2024,0
2,1,Liquid,4/8/2024,2.4
2,2,Control,4/8/2024,2.2
2,3,CG,4/8/2024,1.6
2,4,CBG,4/8/2024,0.55
2,5,Liquid,4/8/2024,2.55
2,6,Control,4/8/2024,2.45
2,7,CG,4/8/2024,2.5
2,8,CBG,4/8/2024,0
3,1,CBG,4/8/2024,2.5
3,2,Liquid,4/8/2024,2.9
3,3,Control,4/8/2024,2.5
3,4,CG,4/8/2024,2.5
3,5,CBG,4/8/2024,0
3,6,Liquid,4/8/2024,0
3,7,Control,4/8/2024,2.7
3,8,CG,4/8/2024,1.5
4,1,CG,4/8/2024,2.3
4,2,CBG,4/8/2024,0
4,3,Liquid,4/8/2024,2.7
4,4,Control,4/8/2024,1.5
4,5,CG,4/8/2024,1
4,6,CBG,4/8/2024,0
4,7,Liquid,4/8/2024,1.6
4,8,Control,4/8/2024,2.3
5,1,Control,4/8/2024,2.5
5,2,CG,4/8/2024,0
5,3,CBG,4/8/2024,2.5
5,4,Liquid,4/8/2024,2
5,5,Control,4/8/2024,3
5,6,CG,4/8/2024,0
5,7,CBG,4/8/2024,1.85
5,8,Liquid,4/8/2024,1.4
6,1,Liquid,4/8/2024,0.5
6,2,Control,4/8/2024,0
6,3,CG,4/8/2024,2
6,4,CBG,4/8/2024,2.2
6,5,Liquid,4/8/2024,2
6,6,Control,4/8/2024,3.4
6,7,CG,4/8/2024,2.6
6,8,CBG,4/8/2024,0
7,1,CBG,4/8/2024,0
7,2,Liquid,4/8/2024,0
7,3,Control,4/8/2024,3
7,4,CG,4/8/2024,2.3
7,5,CBG,4/8/2024,2.7
7,6,Liquid,4/8/2024,3
7,7,Control,4/8/2024,2.5
7,8,CG,4/8/2024,0
8,1,CG,4/8/2024,0
8,2,CBG,4/8/2024,2.2
8,3,Liquid,4/8/2024,2.6
8,4,Control,4/8/2024,0
8,5,CG,4/8/2024,2.7
8,6,CBG,4/8/2024,2.5
8,7,Liquid,4/8/2024,2.7
8,8,Control,4/8/2024,0
9,1,Control,4/8/2024,3.2
9,2,CG,4/8/2024,1.9
9,3,CBG,4/8/2024,2
9,4,Liquid,4/8/2024,2.2
9,5,Control,4/8/2024,3
9,6,CG,4/8/2024,2.6
9,7,CBG,4/8/2024,1.75
9,8,Liquid,4/8/2024,0
10,1,Liquid,4/8/2024,2.4
10,2,Control,4/8/2024,0
10,3,CG,4/8/2024,0
10,4,CBG,4/8/2024,2.9
10,5,Liquid,4/8/2024,3
10,6,Control,4/8/2024,0
10,7,CG,4/8/2024,0
10,8,CBG,4/8/2024,2.85
11,1,CBG,4/8/2024,2.3
11,2,Liquid,4/8/2024,2
11,3,Control,4/8/2024,2.5
11,4,CG,4/8/2024,2
11,5,CBG,4/8/2024,1.9
11,6,Liquid,4/8/2024,2.5
11,7,Control,4/8/2024,2.95
11,8,CG,4/8/2024,0
12,1,CG,4/8/2024,0
12,2,CBG,4/8/2024,0
12,3,Liquid,4/8/2024,2.15
12,4,Control,4/8/2024,2.5
12,5,CG,4/8/2024,0
12,6,CBG,4/8/2024,2
12,7,Liquid,4/8/2024,2.1
12,8,Control,4/8/2024,0
13,1,Control,4/8/2024,2.5
13,2,CG,4/8/2024,3.2
13,3,CBG,4/8/2024,2.5
13,4,Liquid,4/8/2024,0
1,1,Control,4/10/2024,2.5
1,2,CG,4/10/2024,3.3
1,3,CBG,4/10/2024,3.5
1,4,Liquid,4/10/2024,4
1,5,Control,4/10/2024,3
1,6,CG,4/10/2024,1.5
1,7,CBG,4/10/2024,2.7
1,8,Liquid,4/10/2024,3.3
2,1,Liquid,4/10/2024,3.3
2,2,Control,4/10/2024,3.5
2,3,CG,4/10/2024,3.3
2,4,CBG,4/10/2024,0.5
2,5,Liquid,4/10/2024,3.6
2,6,Control,4/10/2024,4
2,7,CG,4/10/2024,3.6
2,8,CBG,4/10/2024,0
3,1,CBG,4/10/2024,3
3,2,Liquid,4/10/2024,3.9
3,3,Control,4/10/2024,4.2
3,4,CG,4/10/2024,3.7
3,5,CBG,4/10/2024,2
3,6,Liquid,4/10/2024,4
3,7,Control,4/10/2024,4
3,8,CG,4/10/2024,2.5
4,1,CG,4/10/2024,3
4,2,CBG,4/10/2024,0
4,3,Liquid,4/10/2024,4
4,4,Control,4/10/2024,3.5
4,5,CG,4/10/2024,2.1
4,6,CBG,4/10/2024,0
4,7,Liquid,4/10/2024,3.2
4,8,Control,4/10/2024,3.9
5,1,Control,4/10/2024,3.9
5,2,CG,4/10/2024,0
5,3,CBG,4/10/2024,3.6
5,4,Liquid,4/10/2024,4.5
5,5,Control,4/10/2024,4.25
5,6,CG,4/10/2024,3.2
5,7,CBG,4/10/2024,3.5
5,8,Liquid,4/10/2024,2.5
6,1,Liquid,4/10/2024,2.5
6,2,Control,4/10/2024,0
6,3,CG,4/10/2024,3.1
6,4,CBG,4/10/2024,3.5
6,5,Liquid,4/10/2024,3
6,6,Control,4/10/2024,4.6
6,7,CG,4/10/2024,3.5
6,8,CBG,4/10/2024,2.5
7,1,CBG,4/10/2024,4.5
7,2,Liquid,4/10/2024,0
7,3,Control,4/10/2024,4.1
7,4,CG,4/10/2024,4.3
7,5,CBG,4/10/2024,4
7,6,Liquid,4/10/2024,4.25
7,7,Control,4/10/2024,3.7
7,8,CG,4/10/2024,0
8,1,CG,4/10/2024,0
8,2,CBG,4/10/2024,3.55
8,3,Liquid,4/10/2024,3.1
8,4,Control,4/10/2024,0
8,5,CG,4/10/2024,4.1
8,6,CBG,4/10/2024,4.2
8,7,Liquid,4/10/2024,4
8,8,Control,4/10/2024,1.5
9,1,Control,4/10/2024,4.5
9,2,CG,4/10/2024,3.2
9,3,CBG,4/10/2024,3.1
9,4,Liquid,4/10/2024,4
9,5,Control,4/10/2024,4.4
9,6,CG,4/10/2024,4
9,7,CBG,4/10/2024,3.5
9,8,Liquid,4/10/2024,3
10,1,Liquid,4/10/2024,3.8
10,2,Control,4/10/2024,0
10,3,CG,4/10/2024,3
10,4,CBG,4/10/2024,4
10,5,Liquid,4/10/2024,4.2
10,6,Control,4/10/2024,2
10,7,CG,4/10/2024,0
10,8,CBG,4/10/2024,2.5
11,1,CBG,4/10/2024,3.5
11,2,Liquid,4/10/2024,3.1
11,3,Control,4/10/2024,4
11,4,CG,4/10/2024,3
11,5,CBG,4/10/2024,3.3
11,6,Liquid,4/10/2024,3.5
11,7,Control,4/10/2024,4.2
11,8,CG,4/10/2024,3.5
12,1,CG,4/10/2024,0
12,2,CBG,4/10/2024,3.5
12,3,Liquid,4/10/2024,3
12,4,Control,4/10/2024,3
12,5,CG,4/10/2024,1.5
12,6,CBG,4/10/2024,3.5
12,7,Liquid,4/10/2024,3.5
12,8,Control,4/10/2024,3.5
13,1,Control,4/10/2024,4
13,2,CG,4/10/2024,4.2
13,3,CBG,4/10/2024,3.4
13,4,Liquid,4/10/2024,0
1,1,Control,4/15/2024,6
1,2,CG,4/15/2024,6.8
1,3,CBG,4/15/2024,7.2
1,4,Liquid,4/15/2024,6.7
1,5,Control,4/15/2024,6.5
1,6,CG,4/15/2024,5
1,7,CBG,4/15/2024,5.5
1,8,Liquid,4/15/2024,6.5
2,1,Liquid,4/15/2024,7
2,2,Control,4/15/2024,7
2,3,CG,4/15/2024,7.5
2,4,CBG,4/15/2024,1.5
2,5,Liquid,4/15/2024,7
2,6,Control,4/15/2024,6.5
2,7,CG,4/15/2024,7.5
2,8,CBG,4/15/2024,5.5
3,1,CBG,4/15/2024,6.1
3,2,Liquid,4/15/2024,6.4
3,3,Control,4/15/2024,6.9
3,4,CG,4/15/2024,7.5
3,5,CBG,4/15/2024,5
3,6,Liquid,4/15/2024,5.4
3,7,Control,4/15/2024,6.8
3,8,CG,4/15/2024,4
4,1,CG,4/15/2024,5.2
4,2,CBG,4/15/2024,4
4,3,Liquid,4/15/2024,7.5
4,4,Control,4/15/2024,5.5
4,5,CG,4/15/2024,4.2
4,6,CBG,4/15/2024,0
4,7,Liquid,4/15/2024,6
4,8,Control,4/15/2024,7.5
5,1,Control,4/15/2024,6.4
5,2,CG,4/15/2024,0
5,3,CBG,4/15/2024,6.8
5,4,Liquid,4/15/2024,7.3
5,5,Control,4/15/2024,6.7
5,6,CG,4/15/2024,6
5,7,CBG,4/15/2024,6
5,8,Liquid,4/15/2024,5.3
6,1,Liquid,4/15/2024,3.5
6,2,Control,4/15/2024,0
6,3,CG,4/15/2024,6.2
6,4,CBG,4/15/2024,6.4
6,5,Liquid,4/15/2024,5
6,6,Control,4/15/2024,8
6,7,CG,4/15/2024,6.5
6,8,CBG,4/15/2024,5
7,1,CBG,4/15/2024,6.6
7,2,Liquid,4/15/2024,5.7
7,3,Control,4/15/2024,7.7
7,4,CG,4/15/2024,6
7,5,CBG,4/15/2024,8
7,6,Liquid,4/15/2024,6.6
7,7,Control,4/15/2024,6.2
7,8,CG,4/15/2024,0
8,1,CG,4/15/2024,0
8,2,CBG,4/15/2024,6.3
8,3,Liquid,4/15/2024,5.8
8,4,Control,4/15/2024,0
8,5,CG,4/15/2024,8.2
8,6,CBG,4/15/2024,7.1
8,7,Liquid,4/15/2024,7.1
8,8,Control,4/15/2024,4.5
9,1,Control,4/15/2024,9
9,2,CG,4/15/2024,8
9,3,CBG,4/15/2024,6
9,4,Liquid,4/15/2024,7.5
9,5,Control,4/15/2024,7.8
9,6,CG,4/15/2024,5
9,7,CBG,4/15/2024,5.7
9,8,Liquid,4/15/2024,7
10,1,Liquid,4/15/2024,6.9
10,2,Control,4/15/2024,0
10,3,CG,4/15/2024,5.1
10,4,CBG,4/15/2024,7.4
10,5,Liquid,4/15/2024,8
10,6,Control,4/15/2024,5
10,7,CG,4/15/2024,0
10,8,CBG,4/15/2024,7.6
11,1,CBG,4/15/2024,6
11,2,Liquid,4/15/2024,6.2
11,3,Control,4/15/2024,7.3
11,4,CG,4/15/2024,4.5
11,5,CBG,4/15/2024,5.8
11,6,Liquid,4/15/2024,6.5
11,7,Control,4/15/2024,7.5
11,8,CG,4/15/2024,7
12,1,CG,4/15/2024,0
12,2,CBG,4/15/2024,6.5
12,3,Liquid,4/15/2024,4.1
12,4,Control,4/15/2024,3.5
12,5,CG,4/15/2024,3.5
12,6,CBG,4/15/2024,6.6
12,7,Liquid,4/15/2024,7.8
12,8,Control,4/15/2024,7
13,1,Control,4/15/2024,6.25
13,2,CG,4/15/2024,7.5
13,3,CBG,4/15/2024,5.9
13,4,Liquid,4/15/2024,0
1,1,Control,4/17/2024,7.1
1,2,CG,4/17/2024,7.1
1,3,CBG,4/17/2024,8
1,4,Liquid,4/17/2024,8.7
1,5,Control,4/17/2024,6.9
1,6,CG,4/17/2024,6
1,7,CBG,4/17/2024,6
1,8,Liquid,4/17/2024,8.1
2,1,Liquid,4/17/2024,8.4
2,2,Control,4/17/2024,8
2,3,CG,4/17/2024,6.2
2,4,CBG,4/17/2024,1.8
2,5,Liquid,4/17/2024,8.7
2,6,Control,4/17/2024,7.1
2,7,CG,4/17/2024,8.5
2,8,CBG,4/17/2024,6
3,1,CBG,4/17/2024,7.6
3,2,Liquid,4/17/2024,8.3
3,3,Control,4/17/2024,8.1
3,4,CG,4/17/2024,8.8
3,5,CBG,4/17/2024,7.1
3,6,Liquid,4/17/2024,9.3
3,7,Control,4/17/2024,8.6
3,8,CG,4/17/2024,5.2
4,1,CG,4/17/2024,6.5
4,2,CBG,4/17/2024,5.8
4,3,Liquid,4/17/2024,8.9
4,4,Control,4/17/2024,7.8
4,5,CG,4/17/2024,4.6
4,6,CBG,4/17/2024,1.1
4,7,Liquid,4/17/2024,7.5
4,8,Control,4/17/2024,8.1
5,1,Control,4/17/2024,7.7
5,2,CG,4/17/2024,0
5,3,CBG,4/17/2024,8.5
5,4,Liquid,4/17/2024,8.6
5,5,Control,4/17/2024,8.4
5,6,CG,4/17/2024,7.3
5,7,CBG,4/17/2024,8
5,8,Liquid,4/17/2024,6.5
6,1,Liquid,4/17/2024,4
6,2,Control,4/17/2024,0
6,3,CG,4/17/2024,8.3
6,4,CBG,4/17/2024,8
6,5,Liquid,4/17/2024,6.5
6,6,Control,4/17/2024,10
6,7,CG,4/17/2024,8
6,8,CBG,4/17/2024,6.4
7,1,CBG,4/17/2024,7.5
7,2,Liquid,4/17/2024,7
7,3,Control,4/17/2024,10
7,4,CG,4/17/2024,8
7,5,CBG,4/17/2024,9.5
7,6,Liquid,4/17/2024,7.7
7,7,Control,4/17/2024,8.1
7,8,CG,4/17/2024,0
8,1,CG,4/17/2024,0
8,2,CBG,4/17/2024,7.5
8,3,Liquid,4/17/2024,8
8,4,Control,4/17/2024,0
8,5,CG,4/17/2024,9.8
8,6,CBG,4/17/2024,9
8,7,Liquid,4/17/2024,9
8,8,Control,4/17/2024,6.5
9,1,Control,4/17/2024,10.1
9,2,CG,4/17/2024,9.1
9,3,CBG,4/17/2024,7.3
9,4,Liquid,4/17/2024,9
9,5,Control,4/17/2024,9
9,6,CG,4/17/2024,8.5
9,7,CBG,4/17/2024,8.7
9,8,Liquid,4/17/2024,7.2
10,1,Liquid,4/17/2024,8.4
10,2,Control,4/17/2024,0
10,3,CG,4/17/2024,6.15
10,4,CBG,4/17/2024,9.5
10,5,Liquid,4/17/2024,9.9
10,6,Control,4/17/2024,6.7
10,7,CG,4/17/2024,7
10,8,CBG,4/17/2024,8.9
11,1,CBG,4/17/2024,7.7
11,2,Liquid,4/17/2024,7.4
11,3,Control,4/17/2024,8.8
11,4,CG,4/17/2024,5.6
11,5,CBG,4/17/2024,6.8
11,6,Liquid,4/17/2024,8
11,7,Control,4/17/2024,8.9
11,8,CG,4/17/2024,8.5
12,1,CG,4/17/2024,0
12,2,CBG,4/17/2024,7.5
12,3,Liquid,4/17/2024,4.5
12,4,Control,4/17/2024,4.2
12,5,CG,4/17/2024,4
12,6,CBG,4/17/2024,8
12,7,Liquid,4/17/2024,8.5
12,8,Control,4/17/2024,8.7
13,1,Control,4/17/2024,7.4
13,2,CG,4/17/2024,8.5
13,3,CBG,4/17/2024,7.9
13,4,Liquid,4/17/2024,0
1,1,Control,4/22/2024,10.8
1,2,CG,4/22/2024,13.2
1,3,CBG,4/22/2024,14.1
1,4,Liquid,4/22/2024,14.9
1,5,Control,4/22/2024,11
1,6,CG,4/22/2024,9.3
1,7,CBG,4/22/2024,8.5
1,8,Liquid,4/22/2024,13
2,1,Liquid,4/22/2024,14.5
2,2,Control,4/22/2024,14.5
2,3,CG,4/22/2024,11
2,4,CBG,4/22/2024,4
2,5,Liquid,4/22/2024,15
2,6,Control,4/22/2024,12.4
2,7,CG,4/22/2024,16
2,8,CBG,4/22/2024,9.2
3,1,CBG,4/22/2024,13.9
3,2,Liquid,4/22/2024,14.5
3,3,Control,4/22/2024,14.3
3,4,CG,4/22/2024,16.7
3,5,CBG,4/22/2024,11.4
3,6,Liquid,4/22/2024,16
3,7,Control,4/22/2024,16.1
3,8,CG,4/22/2024,9.2
4,1,CG,4/22/2024,12.4
4,2,CBG,4/22/2024,9.5
4,3,Liquid,4/22/2024,17.3
4,4,Control,4/22/2024,13.8
4,5,CG,4/22/2024,8.5
4,6,CBG,4/22/2024,3
4,7,Liquid,4/22/2024,13.5
4,8,Control,4/22/2024,14.6
5,1,Control,4/22/2024,15.3
5,2,CG,4/22/2024,0
5,3,CBG,4/22/2024,16
5,4,Liquid,4/22/2024,15.4
5,5,Control,4/22/2024,14.5
5,6,CG,4/22/2024,12
5,7,CBG,4/22/2024,14.8
5,8,Liquid,4/22/2024,12.2
6,1,Liquid,4/22/2024,7.2
6,2,Control,4/22/2024,0
6,3,CG,4/22/2024,15.6
6,4,CBG,4/22/2024,14.8
6,5,Liquid,4/22/2024,12.2
6,6,Control,4/22/2024,15.7
6,7,CG,4/22/2024,14.7
6,8,CBG,4/22/2024,10.5
7,1,CBG,4/22/2024,11.2
7,2,Liquid,4/22/2024,10
7,3,Control,4/22/2024,17.5
7,4,CG,4/22/2024,13.4
7,5,CBG,4/22/2024,17
7,6,Liquid,4/22/2024,11.6
7,7,Control,4/22/2024,13.5
7,8,CG,4/22/2024,0
8,1,CG,4/22/2024,0
8,2,CBG,4/22/2024,11.5
8,3,Liquid,4/22/2024,12.4
8,4,Control,4/22/2024,0
8,5,CG,4/22/2024,16.5
8,6,CBG,4/22/2024,15.1
8,7,Liquid,4/22/2024,15.6
8,8,Control,4/22/2024,10
9,1,Control,4/22/2024,16
9,2,CG,4/22/2024,14.5
9,3,CBG,4/22/2024,12.5
9,4,Liquid,4/22/2024,15
9,5,Control,4/22/2024,13
9,6,CG,4/22/2024,13.5
9,7,CBG,4/22/2024,14
9,8,Liquid,4/22/2024,11.3
10,1,Liquid,4/22/2024,14.5
10,2,Control,4/22/2024,0
10,3,CG,4/22/2024,10.5
10,4,CBG,4/22/2024,17
10,5,Liquid,4/22/2024,17
10,6,Control,4/22/2024,10.5
10,7,CG,4/22/2024,11.5
10,8,CBG,4/22/2024,15.5
11,1,CBG,4/22/2024,13.4
11,2,Liquid,4/22/2024,13.1
11,3,Control,4/22/2024,15.2
11,4,CG,4/22/2024,11.4
11,5,CBG,4/22/2024,12.2
11,6,Liquid,4/22/2024,13.5
11,7,Control,4/22/2024,15.5
11,8,CG,4/22/2024,14.3
12,1,CG,4/22/2024,0
12,2,CBG,4/22/2024,12.5
12,3,Liquid,4/22/2024,7.5
12,4,Control,4/22/2024,6
12,5,CG,4/22/2024,6.2
12,6,CBG,4/22/2024,15.3
12,7,Liquid,4/22/2024,14.5
12,8,Control,4/22/2024,13.8
13,1,Control,4/22/2024,12
13,2,CG,4/22/2024,14.5
13,3,CBG,4/22/2024,13
13,4,Liquid,4/22/2024,6.8
1,1,Control,4/24/2024,12.2
1,2,CG,4/24/2024,16.7
1,3,CBG,4/24/2024,16.8
1,4,Liquid,4/24/2024,18
1,5,Control,4/24/2024,13.5
1,6,CG,4/24/2024,11.9
1,7,CBG,4/24/2024,11
1,8,Liquid,4/24/2024,15.9
2,1,Liquid,4/24/2024,17
2,2,Control,4/24/2024,17.5
2,3,CG,4/24/2024,14
2,4,CBG,4/24/2024,4.5
2,5,Liquid,4/24/2024,17.4
2,6,Control,4/24/2024,14.8
2,7,CG,4/24/2024,19
2,8,CBG,4/24/2024,11
3,1,CBG,4/24/2024,17
3,2,Liquid,4/24/2024,17.5
3,3,Control,4/24/2024,17
3,4,CG,4/24/2024,20
3,5,CBG,4/24/2024,13.9
3,6,Liquid,4/24/2024,19.6
3,7,Control,4/24/2024,18.9
3,8,CG,4/24/2024,11
4,1,CG,4/24/2024,15
4,2,CBG,4/24/2024,12
4,3,Liquid,4/24/2024,21.5
4,4,Control,4/24/2024,17
4,5,CG,4/24/2024,10.2
4,6,CBG,4/24/2024,3.5
4,7,Liquid,4/24/2024,15.5
4,8,Control,4/24/2024,17.3
5,1,Control,4/24/2024,18.2
5,2,CG,4/24/2024,0
5,3,CBG,4/24/2024,19
5,4,Liquid,4/24/2024,18.1
5,5,Control,4/24/2024,17.4
5,6,CG,4/24/2024,14.3
5,7,CBG,4/24/2024,17.4
5,8,Liquid,4/24/2024,13.6
6,1,Liquid,4/24/2024,9
6,2,Control,4/24/2024,1
6,3,CG,4/24/2024,18.4
6,4,CBG,4/24/2024,17.6
6,5,Liquid,4/24/2024,14.4
6,6,Control,4/24/2024,17.4
6,7,CG,4/24/2024,17.5
6,8,CBG,4/24/2024,13
7,1,CBG,4/24/2024,12.6
7,2,Liquid,4/24/2024,11.5
7,3,Control,4/24/2024,19.5
7,4,CG,4/24/2024,15.5
7,5,CBG,4/24/2024,19.5
7,6,Liquid,4/24/2024,13.2
7,7,Control,4/24/2024,15.4
7,8,CG,4/24/2024,0
8,1,CG,4/24/2024,0
8,2,CBG,4/24/2024,12.5
8,3,Liquid,4/24/2024,14.5
8,4,Control,4/24/2024,0
8,5,CG,4/24/2024,19
8,6,CBG,4/24/2024,17
8,7,Liquid,4/24/2024,17.6
8,8,Control,4/24/2024,11.1
9,1,Control,4/24/2024,17.5
9,2,CG,4/24/2024,16.5
9,3,CBG,4/24/2024,14.6
9,4,Liquid,4/24/2024,17.2
9,5,Control,4/24/2024,14.2
9,6,CG,4/24/2024,15.8
9,7,CBG,4/24/2024,16.2
9,8,Liquid,4/24/2024,12.8
10,1,Liquid,4/24/2024,17.5
10,2,Control,4/24/2024,0
10,3,CG,4/24/2024,13
10,4,CBG,4/24/2024,20
10,5,Liquid,4/24/2024,19.7
10,6,Control,4/24/2024,12.2
10,7,CG,4/24/2024,13.1
10,8,CBG,4/24/2024,17.5
11,1,CBG,4/24/2024,16
11,2,Liquid,4/24/2024,15.6
11,3,Control,4/24/2024,17.5
11,4,CG,4/24/2024,14.8
11,5,CBG,4/24/2024,15.3
11,6,Liquid,4/24/2024,15.5
11,7,Control,4/24/2024,18
11,8,CG,4/24/2024,17
12,1,CG,4/24/2024,0
12,2,CBG,4/24/2024,15
12,3,Liquid,4/24/2024,9
12,4,Control,4/24/2024,7.5
12,5,CG,4/24/2024,7
12,6,CBG,4/24/2024,18.5
12,7,Liquid,4/24/2024,17
12,8,Control,4/24/2024,15.5
13,1,Control,4/24/2024,14.5
13,2,CG,4/24/2024,16.2
13,3,CBG,4/24/2024,15
13,4,Liquid,4/24/2024,7.3
1,1,Control,4/29/2024,21
1,2,CG,4/29/2024,25.4
1,3,CBG,4/29/2024,28.1
1,4,Liquid,4/29/2024,29.3
1,5,Control,4/29/2024,21.7
1,6,CG,4/29/2024,20.6
1,7,CBG,4/29/2024,18.5
1,8,Liquid,4/29/2024,26.2
2,1,Liquid,4/29/2024,26
2,2,Control,4/29/2024,28
2,3,CG,4/29/2024,19.2
2,4,CBG,4/29/2024,9
2,5,Liquid,4/29/2024,25.2
2,6,Control,4/29/2024,22.5
2,7,CG,4/29/2024,30
2,8,CBG,4/29/2024,17.7
3,1,CBG,4/29/2024,26.5
3,2,Liquid,4/29/2024,27.2
3,3,Control,4/29/2024,26.5
3,4,CG,4/29/2024,31.2
3,5,CBG,4/29/2024,23.5
3,6,Liquid,4/29/2024,31.2
3,7,Control,4/29/2024,27.8
3,8,CG,4/29/2024,17
4,1,CG,4/29/2024,24.1
4,2,CBG,4/29/2024,21.1
4,3,Liquid,4/29/2024,33
4,4,Control,4/29/2024,27.1
4,5,CG,4/29/2024,14.1
4,6,CBG,4/29/2024,5.9
4,7,Liquid,4/29/2024,24
4,8,Control,4/29/2024,25.5
5,1,Control,4/29/2024,27.9
5,2,CG,4/29/2024,0
5,3,CBG,4/29/2024,30
5,4,Liquid,4/29/2024,29
5,5,Control,4/29/2024,26.2
5,6,CG,4/29/2024,22
5,7,CBG,4/29/2024,26.4
5,8,Liquid,4/29/2024,20.5
6,1,Liquid,4/29/2024,15
6,2,Control,4/29/2024,0
6,3,CG,4/29/2024,28
6,4,CBG,4/29/2024,25.7
6,5,Liquid,4/29/2024,20
6,6,Control,4/29/2024,21.1
6,7,CG,4/29/2024,23.9
6,8,CBG,4/29/2024,21.2
7,1,CBG,4/29/2024,17
7,2,Liquid,4/29/2024,15
7,3,Control,4/29/2024,25.2
7,4,CG,4/29/2024,24
7,5,CBG,4/29/2024,26.2
7,6,Liquid,4/29/2024,18.4
7,7,Control,4/29/2024,20.2
7,8,CG,4/29/2024,0
8,1,CG,4/29/2024,0
8,2,CBG,4/29/2024,15.2
8,3,Liquid,4/29/2024,18.7
8,4,Control,4/29/2024,0
8,5,CG,4/29/2024,27.8
8,6,CBG,4/29/2024,23.2
8,7,Liquid,4/29/2024,23.2
8,8,Control,4/29/2024,15.5
9,1,Control,4/29/2024,22.6
9,2,CG,4/29/2024,25
9,3,CBG,4/29/2024,23.5
9,4,Liquid,4/29/2024,27.1
9,5,Control,4/29/2024,18.5
9,6,CG,4/29/2024,19.4
9,7,CBG,4/29/2024,23
9,8,Liquid,4/29/2024,18.5
10,1,Liquid,4/29/2024,23.3
10,2,Control,4/29/2024,0
10,3,CG,4/29/2024,20.7
10,4,CBG,4/29/2024,29
10,5,Liquid,4/29/2024,27.6
10,6,Control,4/29/2024,18.9
10,7,CG,4/29/2024,18
10,8,CBG,4/29/2024,25
11,1,CBG,4/29/2024,24
11,2,Liquid,4/29/2024,23.6
11,3,Control,4/29/2024,23.5
11,4,CG,4/29/2024,20.9
11,5,CBG,4/29/2024,24
11,6,Liquid,4/29/2024,20.1
11,7,Control,4/29/2024,24.6
11,8,CG,4/29/2024,23.9
12,1,CG,4/29/2024,0
12,2,CBG,4/29/2024,21.7
12,3,Liquid,4/29/2024,14
12,4,Control,4/29/2024,11.4
12,5,CG,4/29/2024,11
12,6,CBG,4/29/2024,26.7
12,7,Liquid,4/29/2024,23.7
12,8,Control,4/29/2024,20.2
13,1,Control,4/29/2024,20.5
13,2,CG,4/29/2024,22.5
13,3,CBG,4/29/2024,22.5
13,4,Liquid,4/29/2024,8.8
